Jnr Sm ID,Lead ID,Lead Stage,Call Done Date,Call Status,Call Reason
JNR1001MG,USR1009,lead,"Jan 8, 2022",successful,lead_introduction
JNR1001MG,USR1009,lead,"Jan 8, 2022",successful,demo_schedule
JNR1001MG,USR1009,awareness,"Jan 10, 2022",successful,post_demo_followup
JNR1001MG,USR1010,lead,"Jan 8, 2022",unsuccessful,lead_introduction
JNR1001MG,USR1010,lead,"Jan 9, 2022",successful,lead_introduction
JNR1001MG,USR1010,lead,"Jan 11, 2022",successful,demo_schedule
JNR1001MG,USR1010,lead,"Jan 14, 2022",successful,demo_not_attended
JNR1001MG,USR1010,awareness,"Jan 14, 2022",successful,post_demo_followup
JNR1001MG,USR1011,lead,"Jan 15, 2022",successful,lead_introduction
JNR1001MG,USR1011,lead,"Jan 16, 2022",successful,demo_schedule
JNR1001MG,USR1011,lead,"Jan 20, 2022",unsuccessful,demo_not_attended
JNR1001MG,USR1011,lead,"Jan 20, 2022",successful,demo_not_attended
JNR1001MG,USR1011,awareness,"Jan 20, 2022",successful,post_demo_followup
JNR1001MG,USR1011,consideration,"Jan 21, 2022",unsuccessful,interested_for_conversion
JNR1001MG,USR1011,consideration,"Jan 22, 2022",successful,followup_for_conversion
JNR1001MG,USR1011,consideration,"Jan 21, 2022",successful,interested_for_conversion
JNR1001MG,USR1011,conversion,"Jan 22, 2022",successful,successful_conversion
JNR1001MG,USR1012,lead,"Jan 15, 2022",successful,lead_introduction
JNR1001MG,USR1012,lead,"Jan 16, 2022",successful,demo_schedule
JNR1001MG,USR1012,lead,"Jan 17, 2022",successful,demo_not_attended
JNR1001MG,USR1012,awareness,"Jan 17, 2022",successful,post_demo_followup
JNR1001MG,USR1012,consideration,"Jan 18, 2022",successful,interested_for_conversion
JNR1001MG,USR1012,consideration,"Jan 19, 2022",successful,followup_for_conversion
JNR1001MG,USR1012,consideration,"Jan 18, 2022",unsuccessful,interested_for_conversion
JNR1001MG,USR1012,conversion,"Jan 19, 2022",successful,successful_conversion
JNR1001MG,USR1013,lead,"Jan 17, 2022",unsuccessful,lead_introduction
JNR1001MG,USR1013,lead,"Jan 18, 2022",successful,lead_introduction
JNR1001MG,USR1013,lead,"Jan 20, 2022",unsuccessful,demo_schedule
JNR1001MG,USR1013,lead,"Jan 18, 2022",successful,demo_schedule
JNR1001MG,USR1013,lead,"Jan 19, 2022",successful,demo_not_attended
JNR1001MG,USR1013,awareness,"Jan 19, 2022",successful,post_demo_followup
JNR1001MG,USR1013,consideration,"Jan 20, 2022",unsuccessful,interested_for_conversion
JNR1001MG,USR1013,consideration,"Jan 21, 2022",successful,followup_for_conversion
JNR1001MG,USR1013,consideration,"Jan 20, 2022",successful,interested_for_conversion
JNR1001MG,USR1013,conversion,"Jan 21, 2022",successful,successful_conversion
JNR1001MG,USR1014,lead,"Jan 17, 2022",successful,lead_introduction
JNR1001MG,USR1014,lead,"Jan 18, 2022",successful,demo_schedule
JNR1001MG,USR1014,awareness,"Jan 19, 2022",successful,post_demo_followup
JNR1001MG,USR1015,lead,"Jan 15, 2022",unsuccessful,lead_introduction
JNR1001MG,USR1015,lead,"Jan 16, 2022",successful,lead_introduction
JNR1001MG,USR1015,lead,"Jan 18, 2022",successful,demo_schedule
JNR1001MG,USR1015,awareness,"Jan 19, 2022",successful,post_demo_followup
JNR1001MG,USR1015,awareness,"Jan 20, 2022",successful,followup_for_consideration
JNR1001MG,USR1016,lead,"Feb 19, 2022",successful,lead_introduction
JNR1001MG,USR1016,lead,"Feb 19, 2022",successful,demo_schedule
JNR1001MG,USR1016,awareness,"Feb 21, 2022",successful,post_demo_followup
JNR1001MG,USR1016,lead,"Feb 21, 2022",unsuccessful,demo_not_attended
JNR1001MG,USR1017,lead,"Feb 19, 2022",successful,lead_introduction
JNR1001MG,USR1017,lead,"Feb 19, 2022",successful,demo_schedule
JNR1001MG,USR1017,awareness,"Feb 19, 2022",successful,post_demo_followup
JNR1001MG,USR1017,awareness,"Feb 20, 2022",successful,followup_for_consideration
JNR1001MG,USR1017,consideration,"Feb 21, 2022",successful,interested_for_conversion
JNR1001MG,USR1017,consideration,"Feb 21, 2022",successful,followup_for_conversion
JNR1001MG,USR1017,consideration,"Feb 21, 2022",successful,followup_for_conversion
JNR1001MG,USR1017,conversion,"Feb 21, 2022",successful,successful_conversion
JNR1001MG,USR1018,lead,"Feb 19, 2022",unsuccessful,lead_introduction
JNR1001MG,USR1018,lead,"Feb 19, 2022",successful,lead_introduction
JNR1001MG,USR1018,lead,"Feb 19, 2022",successful,demo_schedule
JNR1001MG,USR1018,lead,"Feb 22, 2022",successful,demo_not_attended
JNR1001MG,USR1018,awareness,"Feb 22, 2022",successful,post_demo_followup
JNR1001MG,USR1019,lead,"Feb 19, 2022",successful,lead_introduction
JNR1001MG,USR1019,lead,"Feb 21, 2022",successful,demo_schedule
JNR1001MG,USR1019,awareness,"Feb 21, 2022",successful,post_demo_followup
JNR1001MG,USR1020,lead,"Feb 19, 2022",unsuccessful,lead_introduction
JNR1001MG,USR1020,lead,"Feb 20, 2022",successful,lead_introduction
JNR1001MG,USR1020,lead,"Feb 21, 2022",successful,demo_schedule
JNR1001MG,USR1020,awareness,"Feb 22, 2022",successful,post_demo_followup
JNR1002MG,USR1021,lead,"Jan 1, 2022",successful,lead_introduction
JNR1002MG,USR1021,lead,"Jan 2, 2022",successful,demo_schedule
JNR1002MG,USR1021,awareness,"Jan 3, 2022",successful,post_demo_followup
JNR1002MG,USR1022,lead,"Jan 1, 2022",successful,lead_introduction
JNR1002MG,USR1022,lead,"Jan 3, 2022",successful,demo_schedule
JNR1002MG,USR1022,awareness,"Jan 7, 2022",successful,post_demo_followup
JNR1002MG,USR1022,consideration,"Jan 8, 2022",successful,interested_for_conversion
JNR1002MG,USR1022,consideration,"Jan 9, 2022",successful,followup_for_conversion
JNR1002MG,USR1022,consideration,"Jan 9, 2022",successful,followup_for_conversion
JNR1002MG,USR1022,conversion,"Jan 9, 2022",successful,successful_conversion
JNR1002MG,USR1023,lead,"Jan 1, 2022",unsuccessful,lead_introduction
JNR1002MG,USR1023,lead,"Jan 1, 2022",successful,lead_introduction
JNR1002MG,USR1023,lead,"Jan 1, 2022",successful,demo_schedule
JNR1002MG,USR1023,lead,"Jan 1, 2022",successful,demo_not_attended
JNR1002MG,USR1023,awareness,"Jan 1, 2022",successful,post_demo_followup
JNR1002MG,USR1023,consideration,"Jan 2, 2022",successful,interested_for_conversion
JNR1002MG,USR1023,consideration,"Jan 3, 2022",successful,followup_for_conversion
JNR1002MG,USR1023,consideration,"Jan 3, 2022",successful,followup_for_conversion
JNR1002MG,USR1023,conversion,"Jan 3, 2022",successful,successful_conversion
JNR1002MG,USR1024,lead,"Jan 2, 2022",successful,lead_introduction
JNR1002MG,USR1024,lead,"Jan 2, 2022",successful,demo_schedule
JNR1002MG,USR1024,awareness,"Jan 3, 2022",successful,post_demo_followup
JNR1002MG,USR1025,lead,"Jan 3, 2022",unsuccessful,lead_introduction
JNR1002MG,USR1025,lead,"Jan 4, 2022",successful,lead_introduction
JNR1002MG,USR1025,lead,"Jan 4, 2022",successful,demo_schedule
JNR1002MG,USR1025,awareness,"Jan 6, 2022",successful,post_demo_followup
JNR1002MG,USR1025,awareness,"Jan 7, 2022",successful,followup_for_consideration
JNR1002MG,USR1025,consideration,"Jan 8, 2022",successful,interested_for_conversion
JNR1002MG,USR1025,awareness,"Jan 7, 2022",successful,followup_for_consideration
JNR1002MG,USR1025,consideration,"Jan 8, 2022",successful,followup_for_conversion
JNR1002MG,USR1025,conversion,"Jan 8, 2022",successful,successful_conversion
JNR1002MG,USR1026,lead,"Jan 8, 2022",successful,lead_introduction
JNR1002MG,USR1026,lead,"Jan 10, 2022",successful,demo_schedule
JNR1002MG,USR1026,awareness,"Jan 10, 2022",successful,post_demo_followup
JNR1002MG,USR1027,lead,"Jan 8, 2022",successful,lead_introduction
JNR1002MG,USR1027,lead,"Jan 9, 2022",successful,demo_schedule
JNR1002MG,USR1027,lead,"Jan 10, 2022",successful,demo_not_attended
JNR1002MG,USR1027,awareness,"Jan 10, 2022",successful,post_demo_followup
JNR1002MG,USR1027,consideration,"Jan 11, 2022",successful,interested_for_conversion
JNR1002MG,USR1027,consideration,"Jan 12, 2022",successful,followup_for_conversion
JNR1002MG,USR1027,consideration,"Jan 11, 2022",unsuccessful,followup_for_conversion
JNR1002MG,USR1027,consideration,"Jan 12, 2022",successful,followup_for_conversion
JNR1002MG,USR1028,lead,"Jan 8, 2022",unsuccessful,lead_introduction
JNR1002MG,USR1028,lead,"Jan 8, 2022",successful,lead_introduction
JNR1002MG,USR1028,lead,"Jan 9, 2022",successful,demo_schedule
JNR1002MG,USR1028,awareness,"Jan 10, 2022",successful,post_demo_followup
JNR1002MG,USR1029,lead,"Jan 8, 2022",successful,lead_introduction
JNR1002MG,USR1029,lead,"Jan 10, 2022",successful,demo_schedule
JNR1002MG,USR1029,awareness,"Jan 10, 2022",successful,post_demo_followup
JNR1002MG,USR1030,lead,"Jan 8, 2022",unsuccessful,lead_introduction
JNR1002MG,USR1030,lead,"Jan 9, 2022",successful,lead_introduction
JNR1002MG,USR1030,lead,"Jan 10, 2022",successful,demo_schedule
JNR1002MG,USR1030,awareness,"Jan 11, 2022",successful,post_demo_followup
JNR1002MG,USR1030,awareness,"Jan 12, 2022",successful,followup_for_consideration
JNR1002MG,USR1031,lead,"Jan 15, 2022",successful,lead_introduction
JNR1002MG,USR1031,lead,"Jan 17, 2022",successful,demo_schedule
JNR1002MG,USR1031,awareness,"Jan 17, 2022",successful,post_demo_followup
JNR1002MG,USR1031,awareness,"Jan 18, 2022",successful,followup_for_consideration
JNR1002MG,USR1031,consideration,"Jan 19, 2022",successful,interested_for_conversion
JNR1002MG,USR1031,consideration,"Jan 19, 2022",successful,followup_for_conversion
JNR1002MG,USR1031,consideration,"Jan 19, 2022",successful,followup_for_conversion
JNR1002MG,USR1031,conversion,"Jan 19, 2022",successful,successful_conversion
JNR1002MG,USR1032,lead,"Jan 15, 2022",successful,lead_introduction
JNR1002MG,USR1032,lead,"Jan 15, 2022",successful,demo_schedule
JNR1002MG,USR1032,awareness,"Jan 16, 2022",successful,post_demo_followup
JNR1002MG,USR1032,lead,"Jan 16, 2022",successful,demo_not_attended
JNR1002MG,USR1032,awareness,"Jan 17, 2022",successful,followup_for_consideration
JNR1002MG,USR1032,consideration,"Jan 17, 2022",successful,interested_for_conversion
JNR1002MG,USR1032,consideration,"Jan 17, 2022",successful,followup_for_conversion
JNR1002MG,USR1032,consideration,"Jan 17, 2022",successful,followup_for_conversion
JNR1002MG,USR1032,conversion,"Jan 17, 2022",successful,successful_conversion
JNR1002MG,USR1033,lead,"Jan 17, 2022",unsuccessful,lead_introduction
JNR1002MG,USR1033,lead,"Jan 18, 2022",successful,lead_introduction
JNR1002MG,USR1033,lead,"Jan 19, 2022",unsuccessful,demo_schedule
JNR1002MG,USR1033,lead,"Jan 20, 2022",successful,demo_schedule
JNR1002MG,USR1033,awareness,"Jan 21, 2022",successful,post_demo_followup
JNR1002MG,USR1033,awareness,"Jan 22, 2022",successful,followup_for_consideration
JNR1002MG,USR1033,consideration,"Jan 22, 2022",successful,interested_for_conversion
JNR1002MG,USR1033,consideration,"Jan 22, 2022",successful,followup_for_conversion
JNR1002MG,USR1033,consideration,"Jan 22, 2022",successful,followup_for_conversion
JNR1002MG,USR1033,conversion,"Jan 22, 2022",successful,successful_conversion
JNR1002MG,USR1034,lead,"Jan 17, 2022",successful,lead_introduction
JNR1002MG,USR1034,lead,"Jan 17, 2022",successful,demo_schedule
JNR1002MG,USR1034,awareness,"Jan 19, 2022",successful,post_demo_followup
JNR1002MG,USR1035,lead,"Jan 15, 2022",unsuccessful,lead_introduction
JNR1002MG,USR1035,lead,"Jan 16, 2022",successful,lead_introduction
JNR1002MG,USR1035,lead,"Jan 16, 2022",successful,demo_schedule
JNR1002MG,USR1035,awareness,"Jan 17, 2022",successful,post_demo_followup
JNR1002MG,USR1035,awareness,"Jan 18, 2022",successful,followup_for_consideration
JNR1002MG,USR1036,lead,"Feb 19, 2022",successful,lead_introduction
JNR1002MG,USR1036,lead,"Feb 19, 2022",successful,demo_schedule
JNR1002MG,USR1036,awareness,"Feb 21, 2022",successful,post_demo_followup
JNR1002MG,USR1036,awareness,"Feb 21, 2022",successful,post_demo_followup
JNR1002MG,USR1036,awareness,"Feb 23, 2022",unsuccessful,followup_for_consideration
JNR1002MG,USR1036,awareness,"Feb 23, 2022",successful,followup_for_consideration
JNR1002MG,USR1037,lead,"Feb 19, 2022",successful,lead_introduction
JNR1002MG,USR1037,lead,"Feb 21, 2022",successful,demo_schedule
JNR1002MG,USR1037,awareness,"Feb 22, 2022",successful,post_demo_followup
JNR1002MG,USR1037,awareness,"Feb 23, 2022",successful,followup_for_consideration
JNR1002MG,USR1037,awareness,"Feb 23, 2022",unsuccessful,followup_for_consideration
JNR1002MG,USR1037,awareness,"Feb 23, 2022",successful,followup_for_consideration
JNR1002MG,USR1037,awareness,"Feb 23, 2022",successful,followup_for_consideration
JNR1002MG,USR1037,consideration,"Feb 24, 2022",successful,interested_for_conversion
JNR1002MG,USR1037,consideration,"Feb 25, 2022",successful,followup_for_conversion
JNR1002MG,USR1037,consideration,"Feb 25, 2022",unsuccessful,followup_for_conversion
JNR1002MG,USR1037,conversion,"Feb 25, 2022",successful,successful_conversion
JNR1002MG,USR1038,lead,"Feb 19, 2022",unsuccessful,lead_introduction
JNR1002MG,USR1038,lead,"Feb 19, 2022",successful,lead_introduction
JNR1002MG,USR1038,lead,"Feb 20, 2022",successful,demo_schedule
JNR1002MG,USR1038,awareness,"Feb 21, 2022",successful,post_demo_followup
JNR1002MG,USR1038,awareness,"Feb 22, 2022",successful,followup_for_consideration
JNR1002MG,USR1038,awareness,"Feb 22, 2022",successful,followup_for_consideration
JNR1002MG,USR1038,awareness,"Feb 22, 2022",successful,followup_for_consideration
JNR1002MG,USR1039,lead,"Feb 19, 2022",successful,lead_introduction
JNR1002MG,USR1039,lead,"Feb 20, 2022",successful,demo_schedule
JNR1002MG,USR1039,awareness,"Feb 21, 2022",successful,post_demo_followup
JNR1002MG,USR1039,awareness,"Feb 22, 2022",successful,followup_for_consideration
JNR1002MG,USR1040,lead,"Feb 21, 2022",unsuccessful,lead_introduction
JNR1002MG,USR1040,lead,"Feb 22, 2022",successful,lead_introduction
JNR1002MG,USR1040,lead,"Feb 24, 2022",successful,demo_schedule
JNR1002MG,USR1040,awareness,"Feb 25, 2022",successful,post_demo_followup
JNR1003MG,USR1041,lead,"Jan 1, 2022",successful,lead_introduction
JNR1003MG,USR1041,lead,"Jan 1, 2022",successful,demo_schedule
JNR1003MG,USR1041,awareness,"Jan 3, 2022",successful,post_demo_followup
JNR1003MG,USR1041,awareness,"Jan 4, 2022",successful,followup_for_consideration
JNR1003MG,USR1041,awareness,"Jan 4, 2022",unsuccessful,followup_for_consideration
JNR1003MG,USR1041,awareness,"Jan 4, 2022",successful,followup_for_consideration
JNR1003MG,USR1042,lead,"Jan 1, 2022",successful,lead_introduction
JNR1003MG,USR1042,lead,"Jan 1, 2022",successful,demo_schedule
JNR1003MG,USR1042,awareness,"Jan 1, 2022",successful,post_demo_followup
JNR1003MG,USR1042,awareness,"Jan 2, 2022",successful,followup_for_consideration
JNR1003MG,USR1042,awareness,"Jan 2, 2022",unsuccessful,followup_for_consideration
JNR1003MG,USR1042,awareness,"Jan 2, 2022",successful,followup_for_consideration
JNR1003MG,USR1042,awareness,"Jan 2, 2022",successful,followup_for_consideration
JNR1003MG,USR1042,consideration,"Jan 3, 2022",successful,interested_for_conversion
JNR1003MG,USR1042,consideration,"Jan 4, 2022",unsuccessful,followup_for_conversion
JNR1003MG,USR1042,consideration,"Jan 4, 2022",successful,followup_for_conversion
JNR1003MG,USR1042,conversion,"Jan 4, 2022",successful,successful_conversion
JNR1003MG,USR1043,lead,"Jan 1, 2022",unsuccessful,lead_introduction
JNR1003MG,USR1043,lead,"Jan 1, 2022",successful,lead_introduction
JNR1003MG,USR1043,lead,"Jan 1, 2022",successful,demo_schedule
JNR1003MG,USR1043,awareness,"Jan 1, 2022",successful,post_demo_followup
JNR1003MG,USR1043,awareness,"Jan 2, 2022",successful,followup_for_consideration
JNR1003MG,USR1043,awareness,"Jan 2, 2022",successful,followup_for_consideration
JNR1003MG,USR1043,awareness,"Jan 2, 2022",successful,followup_for_consideration
JNR1003MG,USR1044,lead,"Jan 1, 2022",successful,lead_introduction
JNR1003MG,USR1044,lead,"Jan 3, 2022",successful,demo_schedule
JNR1003MG,USR1044,awareness,"Jan 3, 2022",successful,post_demo_followup
JNR1003MG,USR1044,awareness,"Jan 4, 2022",successful,followup_for_consideration
JNR1003MG,USR1045,lead,"Jan 1, 2022",unsuccessful,lead_introduction
JNR1003MG,USR1045,lead,"Jan 2, 2022",successful,lead_introduction
JNR1003MG,USR1045,lead,"Jan 3, 2022",successful,demo_schedule
JNR1003MG,USR1045,awareness,"Jan 4, 2022",successful,post_demo_followup
JNR1003MG,USR1046,lead,"Jan 8, 2022",successful,lead_introduction
JNR1003MG,USR1046,lead,"Jan 8, 2022",successful,demo_schedule
JNR1003MG,USR1046,awareness,"Jan 10, 2022",successful,post_demo_followup
JNR1003MG,USR1046,awareness,"Jan 10, 2022",successful,followup_for_consideration
JNR1003MG,USR1046,awareness,"Jan 10, 2022",unsuccessful,followup_for_consideration
JNR1003MG,USR1046,awareness,"Jan 10, 2022",successful,followup_for_consideration
JNR1003MG,USR1047,lead,"Jan 8, 2022",successful,lead_introduction
JNR1003MG,USR1047,lead,"Jan 8, 2022",successful,demo_schedule
JNR1003MG,USR1047,awareness,"Jan 8, 2022",successful,post_demo_followup
JNR1003MG,USR1047,awareness,"Jan 8, 2022",successful,followup_for_consideration
JNR1003MG,USR1047,consideration,"Jan 8, 2022",successful,interested_for_conversion
JNR1003MG,USR1047,consideration,"Jan 8, 2022",successful,followup_for_conversion
JNR1003MG,USR1047,consideration,"Jan 8, 2022",successful,followup_for_conversion
JNR1003MG,USR1047,conversion,"Jan 8, 2022",successful,successful_conversion
JNR1003MG,USR1048,lead,"Jan 8, 2022",unsuccessful,lead_introduction
JNR1003MG,USR1048,lead,"Jan 8, 2022",successful,lead_introduction
JNR1003MG,USR1048,lead,"Jan 10, 2022",successful,demo_schedule
JNR1003MG,USR1048,lead,"Jan 11, 2022",successful,demo_not_attended
JNR1003MG,USR1048,lead,"Jan 11, 2022",successful,demo_not_attended
JNR1003MG,USR1049,lead,"Jan 8, 2022",successful,lead_introduction
JNR1003MG,USR1049,lead,"Jan 9, 2022",successful,demo_schedule
JNR1003MG,USR1049,lead,"Jan 10, 2022",successful,demo_not_attended
JNR1003MG,USR1050,lead,"Jan 8, 2022",unsuccessful,lead_introduction
JNR1003MG,USR1050,lead,"Jan 9, 2022",successful,lead_introduction
JNR1003MG,USR1050,lead,"Jan 10, 2022",successful,demo_schedule
JNR1003MG,USR1050,lead,"Jan 14, 2022",successful,demo_not_attended
JNR1003MG,USR1050,lead,"Jan 14, 2022",successful,demo_not_attended
JNR1003MG,USR1050,lead,"Jan 14, 2022",successful,demo_not_attended
JNR1003MG,USR1050,awareness,"Jan 14, 2022",successful,post_demo_followup
JNR1003MG,USR1051,lead,"Jan 15, 2022",successful,lead_introduction
JNR1003MG,USR1051,lead,"Jan 17, 2022",successful,demo_schedule
JNR1003MG,USR1051,lead,"Jan 20, 2022",successful,demo_not_attended
JNR1003MG,USR1051,lead,"Jan 20, 2022",successful,demo_not_attended
JNR1003MG,USR1051,lead,"Jan 20, 2022",unsuccessful,demo_not_attended
JNR1003MG,USR1051,lead,"Jan 20, 2022",successful,demo_not_attended
JNR1003MG,USR1051,awareness,"Jan 20, 2022",successful,post_demo_followup
JNR1003MG,USR1051,consideration,"Jan 21, 2022",successful,interested_for_conversion
JNR1003MG,USR1051,consideration,"Jan 22, 2022",successful,followup_for_conversion
JNR1003MG,USR1051,consideration,"Jan 22, 2022",successful,followup_for_conversion
JNR1003MG,USR1051,conversion,"Jan 22, 2022",successful,successful_conversion
JNR1003MG,USR1052,lead,"Jan 15, 2022",successful,lead_introduction
JNR1003MG,USR1052,lead,"Jan 16, 2022",successful,demo_schedule
JNR1003MG,USR1052,lead,"Jan 17, 2022",successful,demo_not_attended
JNR1003MG,USR1052,lead,"Jan 17, 2022",successful,demo_not_attended
JNR1003MG,USR1052,awareness,"Jan 17, 2022",successful,post_demo_followup
JNR1003MG,USR1052,consideration,"Jan 18, 2022",successful,interested_for_conversion
JNR1003MG,USR1052,consideration,"Jan 19, 2022",successful,followup_for_conversion
JNR1003MG,USR1052,consideration,"Jan 19, 2022",successful,followup_for_conversion
JNR1003MG,USR1052,conversion,"Jan 19, 2022",successful,successful_conversion
JNR1003MG,USR1053,lead,"Jan 17, 2022",unsuccessful,lead_introduction
JNR1003MG,USR1053,lead,"Jan 18, 2022",successful,lead_introduction
JNR1003MG,USR1053,lead,"Jan 20, 2022",unsuccessful,demo_schedule
JNR1003MG,USR1053,lead,"Jan 18, 2022",successful,demo_schedule
JNR1003MG,USR1053,lead,"Jan 19, 2022",successful,demo_not_attended
JNR1003MG,USR1053,lead,"Jan 19, 2022",successful,demo_not_attended
JNR1003MG,USR1053,awareness,"Jan 19, 2022",successful,post_demo_followup
JNR1003MG,USR1053,consideration,"Jan 20, 2022",successful,interested_for_conversion
JNR1003MG,USR1053,consideration,"Jan 21, 2022",successful,followup_for_conversion
JNR1003MG,USR1053,consideration,"Jan 21, 2022",successful,followup_for_conversion
JNR1003MG,USR1053,conversion,"Jan 21, 2022",successful,successful_conversion
JNR1003MG,USR1054,lead,"Jan 17, 2022",successful,lead_introduction
JNR1003MG,USR1054,lead,"Jan 18, 2022",successful,demo_schedule
JNR1003MG,USR1054,lead,"Jan 19, 2022",successful,demo_not_attended
JNR1003MG,USR1055,lead,"Jan 15, 2022",unsuccessful,lead_introduction
JNR1003MG,USR1055,lead,"Jan 16, 2022",successful,lead_introduction
JNR1003MG,USR1055,lead,"Jan 18, 2022",successful,demo_schedule
JNR1003MG,USR1055,lead,"Jan 18, 2022",successful,demo_not_attended
JNR1003MG,USR1055,lead,"Jan 18, 2022",successful,demo_not_attended
JNR1003MG,USR1055,lead,"Jan 18, 2022",successful,demo_not_attended
JNR1003MG,USR1055,awareness,"Jan 18, 2022",successful,post_demo_followup
JNR1003MG,USR1056,lead,"Feb 21, 2022",successful,lead_introduction
JNR1003MG,USR1056,lead,"Feb 21, 2022",successful,demo_schedule
JNR1003MG,USR1056,lead,"Feb 22, 2022",successful,demo_not_attended
JNR1003MG,USR1056,lead,"Feb 22, 2022",successful,demo_not_attended
JNR1003MG,USR1056,lead,"Feb 22, 2022",unsuccessful,demo_not_attended
JNR1003MG,USR1056,lead,"Feb 22, 2022",successful,demo_not_attended
JNR1003MG,USR1057,lead,"Feb 22, 2022",successful,lead_introduction
JNR1003MG,USR1057,lead,"Feb 22, 2022",successful,demo_schedule
JNR1003MG,USR1057,lead,"Feb 23, 2022",successful,demo_not_attended
JNR1003MG,USR1057,lead,"Feb 23, 2022",successful,demo_not_attended
JNR1003MG,USR1057,lead,"Feb 23, 2022",unsuccessful,demo_not_attended
JNR1003MG,USR1057,lead,"Feb 23, 2022",successful,demo_not_attended
JNR1003MG,USR1057,awareness,"Feb 23, 2022",successful,post_demo_followup
JNR1003MG,USR1057,consideration,"Feb 24, 2022",unsuccessful,interested_for_conversion
JNR1003MG,USR1057,consideration,"Feb 25, 2022",unsuccessful,followup_for_conversion
JNR1003MG,USR1057,consideration,"Feb 24, 2022",successful,followup_for_conversion
JNR1003MG,USR1057,conversion,"Feb 25, 2022",successful,successful_conversion
JNR1003MG,USR1058,lead,"Feb 19, 2022",unsuccessful,lead_introduction
JNR1003MG,USR1058,lead,"Feb 19, 2022",successful,lead_introduction
JNR1003MG,USR1058,lead,"Feb 19, 2022",successful,demo_schedule
JNR1003MG,USR1058,lead,"Feb 22, 2022",successful,demo_not_attended
JNR1003MG,USR1058,lead,"Feb 22, 2022",successful,demo_not_attended
JNR1003MG,USR1058,lead,"Feb 22, 2022",successful,demo_not_attended
JNR1003MG,USR1058,awareness,"Feb 22, 2022",successful,post_demo_followup
JNR1003MG,USR1059,lead,"Feb 19, 2022",successful,lead_introduction
JNR1003MG,USR1059,lead,"Feb 21, 2022",successful,demo_schedule
JNR1003MG,USR1059,lead,"Feb 22, 2022",successful,demo_not_attended
JNR1003MG,USR1059,lead,"Feb 22, 2022",successful,demo_not_attended
JNR1003MG,USR1060,lead,"Feb 19, 2022",unsuccessful,lead_introduction
JNR1003MG,USR1060,lead,"Feb 20, 2022",successful,lead_introduction
